Job Title,Skills,Experience,Degree,Industry,Location
Data Scientist,"Deep Learning,Python,Pandas,Statistics,TensorFlow,NumPy,Machine Learning,Scikit-learn,SQL,Data Visualization",4,Master,Technology,Chicago
Data Scientist,"NumPy,Deep Learning,TensorFlow,Scikit-learn,Data Visualization,Statistics,Python,Machine Learning,SQL,Pandas",0,Master,Technology,Chicago
Data Scientist,"Machine Learning,Scikit-learn,Data Visualization,SQL,Statistics,Pandas,TensorFlow",6,Master,Technology,Delhi
Data Scientist,"SQL,Scikit-learn,NumPy,Statistics,Pandas,TensorFlow,Python,Machine Learning",4,Master,Technology,Mumbai
Data Scientist,"Pandas,Python,Data Visualization,TensorFlow,Deep Learning,NumPy",0,Master,Technology,Pune
Data Scientist,"Data Visualization,Deep Learning,Statistics,Pandas,Python,NumPy,TensorFlow,Machine Learning",0,Master,Technology,Chennai
Data Scientist,"Data Visualization,Statistics,Machine Learning,NumPy,Scikit-learn,TensorFlow,SQL",6,Master,Technology,Coimbatore
Data Scientist,"TensorFlow,Machine Learning,Data Visualization,Deep Learning,Statistics",5,Master,Technology,Los Angeles
Data Scientist,"SQL,Python,Machine Learning,Statistics,Pandas,NumPy,Scikit-learn,Deep Learning",0,Master,Technology,New York
Data Scientist,"Machine Learning,Python,Statistics,NumPy,Data Visualization,Scikit-learn,Pandas,TensorFlow,Deep Learning,SQL",1,Master,Technology,Kolkata
Data Scientist,"Pandas,NumPy,Deep Learning,Data Visualization,Statistics,SQL",3,Master,Technology,Los Angeles
Data Scientist,"Statistics,Pandas,TensorFlow,Data Visualization,Scikit-learn,Machine Learning,Python,NumPy",5,Master,Technology,Los Angeles
Data Scientist,"Deep Learning,Data Visualization,Pandas,TensorFlow,SQL,NumPy",1,Master,Technology,Boston
Data Scientist,"Machine Learning,Deep Learning,Statistics,SQL,TensorFlow",0,Master,Technology,Noida
Data Scientist,"Deep Learning,TensorFlow,Statistics,Scikit-learn,NumPy,Pandas,SQL,Python",4,Master,Technology,Atlanta
Data Scientist,"Machine Learning,Python,SQL,Data Visualization,Pandas",0,Master,Technology,Remote
Data Scientist,"NumPy,Statistics,Data Visualization,TensorFlow,SQL,Python,Scikit-learn,Deep Learning,Machine Learning,Pandas",5,Master,Technology,Pune
Data Scientist,"Statistics,Python,NumPy,Deep Learning,SQL",1,Master,Technology,Boston
Data Scientist,"TensorFlow,Statistics,NumPy,Python,Data Visualization",2,Master,Technology,Los Angeles
Data Scientist,"Scikit-learn,Pandas,Python,Statistics,TensorFlow,Deep Learning,SQL,Machine Learning,NumPy,Data Visualization",2,Master,Technology,Gurgaon
